Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P04;7;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.0187;100
P04;7;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.0904;500
P04;7;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.0911;500
P04;7;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.1762;1000
P04;7;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.1789;1000
P04;7;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.0354;100
P04;7;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.0369;100
P04;7;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.1754;500
P04;7;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.1823;500
P04;7;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;107;107;0.0;0.3508;1000
P04;7;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;107;107;0.0;0.3658;1000
P05;8;Busca Tabu;tabu_size=5, max_iterations=100;858;900;4.67;0.0011;100
P05;8;Busca Tabu;tabu_size=5, max_iterations=500;858;900;4.67;0.0052;500
P05;8;Busca Tabu;tabu_size=5, max_iterations=1000;858;900;4.67;0.0105;1000
P05;8;Busca Tabu;tabu_size=10, max_iterations=100;858;900;4.67;0.0001;8
P05;8;Busca Tabu;tabu_size=10, max_iterations=500;858;900;4.67;0.0001;8
P05;8;Busca Tabu;tabu_size=10, max_iterations=1000;858;900;4.67;0.0001;8
P05;8;Busca Tabu;tabu_size=20, max_iterations=100;858;900;4.67;0.0001;8
P05;8;Busca Tabu;tabu_size=20, max_iterations=500;858;900;4.67;0.0001;8
P05;8;Busca Tabu;tabu_size=20, max_iterations=1000;858;900;4.67;0.0001;8
P05;8;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.018;100
P05;8;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.0189;100
P05;8;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.0917;500
P05;8;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.0938;500
P05;8;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.1805;1000
P05;8;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.1866;1000
P05;8;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.0374;100
P05;8;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.0375;100
P05;8;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.1823;500
P05;8;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.1904;500
P05;8;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;900;900;0.0;0.3624;1000
P05;8;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;900;900;0.0;0.3776;1000
P06;7;Busca Tabu;tabu_size=5, max_iterations=100;1735;1735;0.0;0.001;100
P06;7;Busca Tabu;tabu_size=5, max_iterations=500;1735;1735;0.0;0.0052;500
P06;7;Busca Tabu;tabu_size=5, max_iterations=1000;1735;1735;0.0;0.0103;1000
